,Type,Text
4295,spam,Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA
3330,ham,Sac will score big hundred.he is set batsman:-)
5375,ham,"K I'll head out in a few mins, see you there"
2366,ham,Ok try to do week end course in coimbatore.
2932,ham,Hi' Test on  &lt;#&gt; rd ....
645,ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week
2984,ham,What should i eat fo lunch senor
238,ham,Where are you?when wil you reach here?
326,ham,No calls..messages..missed calls
4557,ham,Gettin rdy to ship comp
1779,ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear"
5172,ham,I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.
1675,ham,Nah dub but je still buff
381,ham,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up."
869,spam,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r
1821,ham,I'll probably be by tomorrow (or even later tonight if something's going on)
4767,ham,Whens your radio show?
1008,ham,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?
360,ham,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted"
1882,ham,Ok.. Ü finishing soon?
4259,ham,I am late. I will be there at
1860,ham,What's up. Do you want me to come online?
4485,ham,Shopping? Eh ger i toking abt syd leh...Haha
1629,ham,Yes princess! I want to make you happy...
2165,ham,"Nothing really, just making sure everybody's up to speed"
3781,ham,Then ur physics get a-?
2452,ham,I know complain num only..bettr directly go to bsnl offc nd apply for it..
2136,ham,"Carlos took a while (again), we leave in a minute"
2793,ham,Well there's still a bit left if you guys want to tonight
1079,ham,Convey my regards to him
5230,spam,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04
2758,ham,Yo we are watching a movie on netflix
3637,ham,"""ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX"""
1268,ham,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.
2697,ham,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...
1077,ham,Where can download clear movies. Dvd copies.
